iter	Passed	Remaining
0	2	1162
1	4	1105
2	6	1061
3	8	1042
4	10	1030
5	12	1024
6	14	1019
7	16	1013
8	18	1005
9	20	996
10	22	991
11	24	988
12	26	989
13	28	983
14	30	981
15	32	978
16	34	971
17	36	966
18	38	963
19	40	961
20	41	955
21	44	956
22	46	954
23	47	951
24	49	949
25	51	946
26	53	942
27	55	937
28	57	934
29	59	932
30	61	930
31	63	930
32	65	929
33	67	927
34	69	924
35	71	924
36	73	923
37	75	920
38	77	917
39	79	918
40	82	922
41	84	921
42	86	921
43	88	919
44	90	918
45	92	915
46	94	913
47	96	911
48	98	909
49	100	906
50	102	903
51	104	901
52	106	898
53	108	894
54	110	892
55	112	890
56	114	887
57	116	887
58	118	883
59	120	882
60	122	881
61	125	887
62	127	887
63	130	890
64	132	888
65	134	886
66	136	884
67	138	880
68	140	879
69	143	879
70	145	877
71	147	875
72	149	874
73	151	873
74	153	871
75	155	868
76	157	864
77	159	861
78	161	859
79	163	858
80	165	857
81	167	854
82	169	852
83	172	851
84	174	850
85	176	847
86	178	845
87	180	843
88	182	842
89	184	840
90	186	840
91	189	840
92	191	839
93	194	839
94	196	837
95	198	835
96	200	833
97	203	832
98	205	831
99	207	829
100	209	826
101	211	824
102	213	822
103	216	822
104	218	821
105	220	820
106	222	818
107	224	816
108	227	815
109	229	812
110	231	810
111	232	807
112	234	804
113	237	803
114	239	802
115	241	800
116	243	797
117	246	796
118	248	794
119	250	793
120	252	791
121	254	788
122	256	786
123	258	784
124	261	785
125	264	785
126	266	782
127	268	780
128	270	777
129	272	775
130	274	772
131	276	771
132	278	769
133	281	767
134	283	765
135	285	762
136	286	760
137	288	757
138	290	755
139	293	754
140	295	752
141	297	750
142	299	747
143	301	745
144	303	742
145	305	740
146	307	737
147	309	735
148	310	732
149	313	730
150	315	728
151	317	727
152	319	724
153	321	722
154	323	719
155	325	717
156	327	715
157	329	713
158	332	712
159	334	709
160	336	707
161	337	704
162	339	702
163	341	700
164	343	697
165	345	695
166	347	693
167	350	691
168	353	691
169	355	689
170	357	687
171	359	684
172	361	682
173	363	680
174	365	678
175	368	677
176	370	676
177	373	674
178	375	673
179	377	671
180	379	669
181	381	666
182	384	665
183	386	663
184	388	660
185	390	659
186	392	657
187	394	655
188	396	653
189	398	650
190	400	648
191	402	645
192	404	643
193	406	641
194	408	638
195	410	636
196	412	634
197	414	632
198	416	629
199	418	627
200	420	625
201	422	622
202	424	620
203	426	618
204	427	615
205	429	613
206	431	610
207	433	608
208	435	606
209	437	603
210	439	601
211	441	599
212	443	597
213	445	595
214	447	593
215	449	590
216	451	588
217	453	586
218	454	583
219	456	581
220	458	579
221	460	577
222	462	574
223	464	572
224	466	570
225	468	567
226	470	565
227	472	563
228	474	561
229	476	559
230	478	557
231	480	554
232	481	552
233	484	550
234	485	547
235	487	545
236	489	543
237	491	541
238	493	539
239	495	536
240	497	534
241	499	532
242	501	530
243	503	527
244	505	525
245	507	523
246	509	521
247	511	519
248	513	517
249	515	515
250	516	512
251	518	510
252	520	508
253	522	506
254	524	504
255	526	501
256	528	499
257	530	497
258	532	495
259	533	492
260	536	490
261	537	488
262	539	486
263	541	484
264	543	482
265	545	479
266	547	477
267	549	475
268	551	473
269	553	471
270	555	469
271	557	467
272	559	464
273	561	462
274	562	460
275	564	458
276	566	456
277	568	454
278	571	452
279	573	450
280	575	448
281	577	446
282	579	444
283	581	442
284	583	439
285	585	437
286	587	435
287	589	433
288	590	431
289	592	429
290	594	427
291	596	425
292	598	422
293	600	420
294	602	418
295	604	416
296	606	414
297	609	412
298	611	411
299	613	409
300	615	407
301	618	405
302	620	403
303	622	401
304	624	399
305	626	396
306	628	394
307	630	392
308	632	391
309	634	388
310	636	386
311	638	384
312	640	382
313	642	380
314	644	378
315	646	376
316	648	374
317	649	371
318	651	369
319	653	367
320	655	365
321	657	363
322	659	361
323	661	359
324	663	357
325	664	354
326	666	352
327	668	350
328	670	348
329	672	346
330	674	344
331	676	342
332	679	340
333	681	338
334	683	336
335	685	334
336	687	332
337	688	330
338	690	328
339	692	326
340	694	323
341	696	321
342	698	319
343	700	317
344	702	315
345	704	313
346	706	311
347	708	309
348	710	307
349	712	305
350	713	303
351	715	301
352	717	298
353	719	296
354	721	294
355	723	292
356	725	290
357	727	288
358	729	286
359	731	284
360	733	282
361	735	280
362	737	278
363	739	276
364	741	274
365	743	272
366	745	270
367	747	268
368	749	266
369	751	264
370	753	261
371	755	259
372	757	257
373	759	255
374	761	253
375	763	251
376	765	249
377	766	247
378	768	245
379	770	243
380	772	241
381	774	239
382	776	237
383	778	235
384	780	233
385	782	231
386	784	229
387	786	226
388	787	224
389	789	222
390	791	220
391	793	218
392	795	216
393	797	214
394	799	212
395	800	210
396	802	208
397	804	206
398	806	204
399	808	202
400	810	200
401	812	198
402	814	196
403	816	193
404	818	191
405	820	189
406	822	187
407	824	185
408	825	183
409	827	181
410	829	179
411	831	177
412	833	175
413	835	173
414	837	171
415	839	169
416	841	167
417	843	165
418	845	163
419	846	161
420	848	159
421	850	157
422	852	155
423	854	153
424	856	151
425	858	149
426	860	147
427	862	145
428	864	143
429	866	140
430	868	138
431	869	136
432	871	134
433	873	132
434	875	130
435	877	128
436	879	126
437	881	124
438	883	122
439	885	120
440	887	118
441	889	116
442	891	114
443	893	112
444	894	110
445	896	108
446	898	106
447	900	104
448	902	102
449	904	100
450	906	98
451	908	96
452	910	94
453	911	92
454	913	90
455	915	88
456	917	86
457	919	84
458	921	82
459	923	80
460	925	78
461	927	76
462	929	74
463	930	72
464	932	70
465	934	68
466	936	66
467	938	64
468	940	62
469	942	60
470	944	58
471	946	56
472	948	54
473	950	52
474	952	50
475	953	48
476	955	46
477	957	44
478	959	42
479	961	40
480	963	38
481	965	36
482	967	34
483	969	32
484	970	30
485	972	28
486	974	26
487	976	24
488	978	22
489	980	20
490	982	18
491	984	16
492	985	13
493	987	11
494	989	9
495	991	7
496	993	5
497	995	3
498	997	1
499	999	0
